-90.0,0.0,5
-54.4333,3.4,1
-46.3894,168.3722,29
-46.2388,169.7372,1
-45.9059,170.4912,3
-45.8962,170.5368,2
-45.8839,170.3552,3
-45.8792,170.472,8
-45.8714,170.5119,25
-45.8667,170.5,1
-45.8366,170.5074,29
-45.0928,170.9785,3
-45.0379,168.6879,104
-45.002,168.7928,2
-44.8414,168.7167,92
-44.6861,169.1275,110
-44.3864,171.2285,4
-44.0947,170.8289,1
-43.8983,171.7301,7
-43.5884,172.579,10
-43.5831,172.6644,29
-43.5829,172.5143,2
-43.5753,172.7589,1
-43.5565,172.6024,29
-43.5559,172.6689,8
-43.5341,172.637,439
-43.5333,172.6333,29
-43.5294,172.5174,32
-43.5225,172.5813,48
-43.5136,172.6205,47
-43.5127,172.622,4
-43.5079,172.7021,7
-43.5007,172.6257,10
-43.4957,172.5679,18
-43.4492,172.6875,16
-43.3848,172.6766,39
-43.3547,172.6477,8
-43.3206,172.6648,3
-43.1533,147.0725,1
-43.0031,147.3169,7
-42.9764,147.3035,249
-42.9333,147.5,1
-42.914,147.3071,21
-42.9136,147.4875,1
-42.9018,147.4559,6
-42.8945,147.3244,16
-42.8873,147.4055,2
-42.8794,147.3294,1155
-42.8793,147.4846,5
-42.8755,147.3703,21
-42.8715,147.2751,31
-42.8707,147.357,1
-42.8667,147.3833,9
-42.8586,147.5053,1
-42.8484,147.3619,7
-42.8462,147.3023,3
-42.8334,147.2759,7
-42.8333,147.05,1
-42.832,147.3227,3
-42.8296,147.3463,2
-42.8208,147.3022,1
-42.8091,147.2448,1
-42.8088,147.2984,12
-42.7833,147.25,3
-42.7807,147.0594,2
-42.7776,147.2666,3
-42.7667,147.25,3
-42.5254,171.2455,7
-42.4365,147.1466,1
-42.3848,147.0083,1
-41.7486,171.5903,1
-41.6051,147.1189,1
-41.571,147.2474,1
-41.5456,173.9572,8
-41.4833,147.1707,2
-41.4675,147.128,20
-41.4598,147.0841,11
-41.4551,147.1456,2
-41.4425,147.1048,4
-41.4388,147.1347,386
-41.4204,147.1336,4
-41.3995,146.339,2
-41.3833,147.1333,11
-41.3657,147.0458,3
-41.3437,173.185,1
-41.3375,174.7506,2
-41.316,174.8159,1
-41.3155,174.8166,5
-41.3097,173.2432,18
-41.3053,174.779,191
-41.3,174.7833,16
-41.2942,174.7763,8
-41.2881,173.3357,74
-41.2869,174.7405,11
-41.2833,173.2833,6
-41.2829,174.7842,349
-41.2634,174.9483,7
-41.2466,174.7942,31
-41.2362,146.4172,80
-41.2338,174.8757,4
-41.2333,146.9333,1
-41.2167,174.9167,1
-41.1971,174.9198,91
-41.1951,174.7805,63
-41.1943,174.9522,13
-41.1769,146.3515,9
-41.175,174.8503,3
-41.1703,174.9949,11
-41.1603,146.1824,8
-41.1403,-71.3014,1
-41.1333,173.0167,1
-41.1333,174.85,18
-41.1333,175.0333,61
-41.1303,174.8787,133
-41.1195,175.0935,1
-41.0,174.0,2157
-40.9516,175.6535,3
-40.8948,174.9695,9
-40.8733,175.0507,1
-40.7911,175.3732,3
-40.7583,175.15,1
-40.7402,175.1404,31
-40.621,175.3004,10
-40.5963,175.2511,80
-40.5035,175.5456,1
-40.3691,175.6288,149
-40.3658,175.5885,1
-40.3326,175.63,3
-39.9401,175.0133,5
-39.9146,175.0547,4
-39.6694,176.8783,9
-39.65,176.8333,41
-39.6462,176.8502,4
-39.5854,174.2825,1
-39.5268,176.8511,96
-39.498,176.8799,4
-39.4833,176.9167,24
-39.0725,174.0554,13
-39.052,174.1191,13
-39.028,-67.5737,10
-38.95,-68.0667,1
-38.7167,-62.2833,16
-38.7037,176.0589,65
-38.6673,178.0286,10
-38.55,-58.75,2
-38.5404,143.9764,25
-38.5146,145.3576,1
-38.4523,145.2386,17
-38.401,146.1613,1
-38.3864,142.5943,16
-38.3554,144.9068,8
-38.3338,144.9646,1
-38.3333,145.1667,14
-38.3308,144.3264,24
-38.3167,144.7333,14
-38.3,145.1833,1
-38.2667,145.0167,7
-38.2653,144.5147,3
-38.25,145.1833,10
-38.2312,144.3737,1
-38.2179,145.0388,70
-38.2167,144.2833,3
-38.2167,145.1667,3
-38.2,-60.2833,4
-38.2,144.35,1
-38.1833,145.0833,70
-38.1783,146.261,1
-38.1748,144.3428,3
-38.1667,145.1667,22
-38.1591,145.9312,1
-38.1535,144.3581,3
-38.1483,176.2067,17
-38.1446,145.1229,18
-38.14,176.25,1
-38.1343,144.3241,1
-38.1211,144.328,13
-38.1178,176.2514,6
-38.1154,144.6556,12
-38.1134,145.2833,18
-38.1,145.1333,13
-38.0905,176.6964,2
-38.0833,145.1333,1
-38.0702,145.4741,3
-38.0653,145.1228,11
-38.0559,145.2562,3
-38.05,145.25,24
-38.05,176.4833,1
-38.0333,145.25,5
-38.0333,145.3,366
-38.0333,145.35,212
-38.0291,145.1027,4
-38.0239,144.4062,1
-38.0167,145.2667,3
-38.0104,175.3237,18
-37.9912,145.1739,244
-37.9833,145.3167,1
-37.977,145.2587,2
-37.97,177.084,1
-37.9694,145.0481,91
-37.9667,145.1667,19
-37.9555,176.9225,5
-37.95,145.0,1
-37.95,145.05,20
-37.9485,145.1527,38
-37.9372,145.0046,17
-37.9368,145.4938,1
-37.9333,145.1167,2
-37.9333,145.2333,27
-37.9333,145.3,1
-37.9193,145.053,1
-37.9173,145.1304,4
-37.9167,144.8,21
-37.9167,145.05,88
-37.9167,145.2,20
-37.9106,145.1348,1
-37.9096,175.4781,1
-37.9056,145.0028,4
-37.9039,145.0415,1
-37.9023,145.0173,9
-37.9,144.6667,5
-37.9,145.1,12
-37.9,145.1167,1
-37.9,145.1833,261
-37.8956,145.026,5
-37.8926,178.32,106
-37.8915,147.853,1
-37.8877,145.0952,1
-37.8864,145.0025,3
-37.8846,145.2954,6
-37.8833,145.05,47
-37.8833,145.0667,12
-37.8833,145.1333,4
-37.8833,145.2167,653
-37.8826,144.7003,20
-37.8825,145.0229,4
-37.8809,144.7587,1
-37.8781,145.1648,144
-37.874,145.0425,22
-37.8739,145.0249,6
-37.8696,144.8304,1
-37.8692,144.9977,2
-37.8667,144.6667,24
-37.8667,145.0667,77
-37.8667,145.2833,10
-37.8666,145.1055,1
-37.8626,145.0281,10
-37.8626,145.0794,37
-37.86,144.9717,4
-37.857,144.8977,23
-37.8554,145.0205,17
-37.853,144.9929,1
-37.8511,144.9932,18
-37.8505,145.0949,37
-37.85,145.15,62
-37.85,145.2167,30
-37.85,145.2667,42
-37.8443,144.8848,2
-37.8421,145.0694,3
-37.8416,145.0144,2
-37.8362,145.1943,1
-37.8333,-58.25,2
-37.8333,144.9333,9
-37.8333,144.9667,541
-37.8333,144.9833,173
-37.8333,145.0,649
-37.8333,145.0333,58
-37.8333,145.1333,728
-37.8333,145.25,21
-37.829,145.1248,38
-37.8252,145.1004,22
-37.8247,145.0848,19
-37.8228,144.9643,27
-37.8204,145.1731,1
-37.8198,175.2865,1
-37.8189,145.1254,2
-37.8182,145.0018,68
-37.8167,144.75,1
-37.8167,144.9,5
